ufo_id,location
16882,"Alacanti (Spain), Spain"
16904,"Köniz (Switzerland), Switzerland"
16942,"Huddersfield (UK/England), United Kingdom"
17024,"Ambala (India), India"
17031,"Mersin (Turkey), Turkey"
17048,"Sheffield (UK/England), United Kingdom"
17050,"Zonhoven (Belgium), Belgium"
17098,"Campana (Argentina), Argentina"
17111,"Tauton (UK/England), United Kingdom"
17121,"Sunderland (UK/England), United Kingdom"
17133,"La Paz/Cochabamba/Potosi, Bolivia"
17172,"Ymuiden (Netherlands), Netherlands"
17197,"Las Pinas (Philippines), Philippines"
17211,"Burnley (UK/England), United Kingdom"
17245,"Gosforth (UK/England), United Kingdom"
17253,"Bünde (Birdwood Barracks) (Germany), Germany"
17258,"Secunda (South Africa), South Africa"
17283,"Taurangat (Tauranga) (New Zealand), New Zealand"
17293,"Cartagena (Murcia) (Spain), Spain"
17303,"Barnstaple (UK/England), United Kingdom"
17328,"Mykonos (Greece), Greece"
17333,"Sheffield City (Just outside)(South Yorkshire) (UK/England), United Kingdom"
17351,"Dunedin (New Zealand), New Zealand"
17392,"Glasgow (UK/Scotland), United Kingdom"
17406,"Norwich (there was officer's on the port side) (UK/England), United Kingdom"
17415,"Central U. S. (in-flight; Chicago toTampa Bay), USA"
17433,"Arvidsjaur (Sweden), Sweden"
17439,"East London (South Africa), South Africa"
17444,"Jalandhar (India), India"
17452,"Brendon (UK/England), United Kingdom"
17470,"Westport (County Mayo) (Republic of Ireland), Ireland"
17541,"Oran (Ain-el-turck) (Algeria), Algeria"
17558,"Hertfordshire (UK/England), United Kingdom"
17560,"Altona Meadows (Australia), Australia"
17565,"Leamington Spa (UK/England), United Kingdom"
17567,"Sedgley (UK/England), United Kingdom"
17569,"Merseyside (UK/England), United Kingdom"
17594,"Marske-by-Sea/Redcar/Cleveland (UK/England), United Kingdom"
17611,"Amanzimtoti (South Africa), South Africa"
17678,"Yorkshire (South) (UK/England), United Kingdom"
17681,"Chandigarh (India), India"
17713,"Alicante (Spain), Spain"
17724,"Buehler (Switzerland), Switzerland"
17740,"Sunderland (UK/England), United Kingdom"
17751,"Nis (Yugoslavia), Yugoslavia"
17763,"Winchester (UK/England), United Kingdom"
17764,"Inazawa (Japan), Japan"
17781,"Sarpsborg (Norway), Norway"
